22/07/1949,כה תמוז תשט
23/07/1949,כו תמוז תשט
24/07/1949,כז תמוז תשט
25/07/1949,כח תמוז תשט
26/07/1949,כט תמוז תשט
27/07/1949,א אב תשט
28/07/1949,ב אב תשט
29/07/1949,ג אב תשט
30/07/1949,ד אב תשט
31/07/1949,ה אב תשט
01/08/1949,ו אב תשט
02/08/1949,ז אב תשט
03/08/1949,ח אב תשט
04/08/1949,ט אב תשט
05/08/1949,י אב תשט
06/08/1949,יא אב תשט
07/08/1949,יב אב תשט
08/08/1949,יג אב תשט
09/08/1949,יד אב תשט
10/08/1949,טו אב תשט
11/08/1949,טז אב תשט
12/08/1949,יז אב תשט
13/08/1949,יח אב תשט
14/08/1949,יט אב תשט
15/08/1949,כ אב תשט
16/08/1949,כא אב תשט
17/08/1949,כב אב תשט
18/08/1949,כג אב תשט
19/08/1949,כד אב תשט
20/08/1949,כה אב תשט
21/08/1949,כו אב תשט
22/08/1949,כז אב תשט
23/08/1949,כח אב תשט
24/08/1949,כט אב תשט
25/08/1949,ל אב תשט
26/08/1949,א אלול תשט
27/08/1949,ב אלול תשט
28/08/1949,ג אלול תשט
29/08/1949,ד אלול תשט
30/08/1949,ה אלול תשט
31/08/1949,ו אלול תשט
01/09/1949,ז אלול תשט
02/09/1949,ח אלול תשט
03/09/1949,ט אלול תשט
04/09/1949,י אלול תשט
05/09/1949,יא אלול תשט
06/09/1949,יב אלול תשט
07/09/1949,יג אלול תשט
08/09/1949,יד אלול תשט
09/09/1949,טו אלול תשט
10/09/1949,טז אלול תשט
11/09/1949,יז אלול תשט
12/09/1949,יח אלול תשט
13/09/1949,יט אלול תשט
14/09/1949,כ אלול תשט
15/09/1949,כא אלול תשט
16/09/1949,כב אלול תשט
17/09/1949,כג אלול תשט
18/09/1949,כד אלול תשט
19/09/1949,כה אלול תשט
20/09/1949,כו אלול תשט
21/09/1949,כז אלול תשט
22/09/1949,כח אלול תשט
23/09/1949,כט אלול תשט
24/09/1949,א תשרי תשי
25/09/1949,ב תשרי תשי
26/09/1949,ג תשרי תשי
27/09/1949,ד תשרי תשי
28/09/1949,ה תשרי תשי
29/09/1949,ו תשרי תשי
30/09/1949,ז תשרי תשי
01/10/1949,ח תשרי תשי
02/10/1949,ט תשרי תשי
03/10/1949,י תשרי תשי
04/10/1949,יא תשרי תשי
05/10/1949,יב תשרי תשי
06/10/1949,יג תשרי תשי
07/10/1949,יד תשרי תשי
08/10/1949,טו תשרי תשי
09/10/1949,טז תשרי תשי
10/10/1949,יז תשרי תשי
11/10/1949,יח תשרי תשי
12/10/1949,יט תשרי תשי
13/10/1949,כ תשרי תשי
14/10/1949,כא תשרי תשי
15/10/1949,כב תשרי תשי
16/10/1949,כג תשרי תשי
17/10/1949,כד תשרי תשי
18/10/1949,כה תשרי תשי
19/10/1949,כו תשרי תשי
20/10/1949,כז תשרי תשי
21/10/1949,כח תשרי תשי
22/10/1949,כט תשרי תשי
23/10/1949,ל תשרי תשי
24/10/1949,א חשון תשי
25/10/1949,ב חשון תשי
26/10/1949,ג חשון תשי
27/10/1949,ד חשון תשי
